Vol,Year,Title,题目,网址
114-110,2019-2018,Influence of gas adsorption induced non-uniform deformation on the evolution of coal permeability,气体吸附诱导非均匀变形对煤岩渗透率演化的影响,/science/article/pii/S1365160918308499/pdfft?md5=86e00c306f52858d016d9debf5b9f841&pid=1-s2.0-S1365160918308499-main.pdf
114-110,2019-2018,Experimental investigation of the shear mechanical behavior of sandstone under unloading normal stress,卸荷正应力下砂岩剪切力学特性试验研究,/science/article/pii/S1365160918307846/pdfft?md5=b6f277c2d8acc6d15d6d4e171b67cbcc&pid=1-s2.0-S1365160918307846-main.pdf
114-110,2019-2018,Numerical investigation of the stability of a base-exposed sill mat made of cemented backfill,胶结回填基底暴露垫层稳定性的数值研究,/science/article/pii/S1365160918303654/pdfft?md5=7371e63f8879772ccc87663386bdb791&pid=1-s2.0-S1365160918303654-main.pdf
114-110,2019-2018,Characteristics of steady-state propagation of hydraulic fractures in ductile elastic and two-dimensionally confined plate media,韧性弹性和二维约束板介质中水力裂缝的稳态传播特征,/science/article/pii/S1365160918307834/pdfft?md5=9e100edc99e7094f02be69297e2d9691&pid=1-s2.0-S1365160918307834-main.pdf
114-110,2019-2018,Historical shear deformation of rock fractures derived from digital outcrop models and its implications on the development of fracture systems,数值露头模型衍生岩石裂缝的历史剪切变形及其对裂缝系统发育的影响,/science/article/pii/S1365160918307652/pdfft?md5=be53287df756633fc172684d96afbdf0&pid=1-s2.0-S1365160918307652-main.pdf
114-110,2019-2018,Effects of arch structure in unconsolidated layers on fracture and failure of overlying strata,疏松层拱结构对上覆地层破裂及破坏的影响,/science/article/pii/S1365160918312279/pdfft?md5=6d53ced1bbf9a24af5aec13804cae9fb&pid=1-s2.0-S1365160918312279-main.pdf
114-110,2019-2018,Gravity flow characterization of fine granular material for Block Caving,块状崩落细颗粒材料的重力流特征,/science/article/pii/S1365160917309127/pdfft?md5=d7acc7d9d68122405357fb97d9df0ee1&pid=1-s2.0-S1365160917309127-main.pdf
114-110,2019-2018,Editorial Board,编委会,/science/article/pii/S1365160919300838/pdfft?md5=4ff2bdbe643e698a121ed1df62d365ef&pid=1-s2.0-S1365160919300838-main.pdf
114-110,2019-2018,Optimization of the horizontal-well multiple hydraulic fracturing operation in a low-permeability carbonate reservoir using fully coupled XFEM model,利用全耦合XFEM模型优化低渗透碳酸盐岩油藏水平井多水力压裂作业,/science/article/pii/S1365160918304623/pdfft?md5=3e6f05d3f859f99a391177d705969f4a&pid=1-s2.0-S1365160918304623-main.pdf
114-110,2019-2018,In-situ microscale visualization experiments on microcracking and microdeformation behaviour around a pre-crack tip in a three-point bending sandstone,三点弯曲砂岩预裂缝尖端微裂纹和微变形行为的原位微观可视化实验,/science/article/pii/S1365160918307664/pdfft?md5=49dee1618018861161eaab9ca757c878&pid=1-s2.0-S1365160918307664-main.pdf
